,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
Missouri,478.7891725346163,190.5325185899508,1110.0707054719735,1514.9743625010547,760.5661528982008,1026.5380773670158,885.7341627221916,928.2384834883322,644.5375256669643,278.2582263177395,1264.3319000409624,225.60619884601027,378.63789261903986,367.7234006085484,413.2239088192743,463.5204308617157,1121.568133879896,825.7337406742106,1258.4988385542442,545.2207396318339,622.2780027886188,0.0,410.4666264759802,1125.5134671782857,725.3895451017682,808.39008518946,493.71819226912913,1121.9155426521218,947.3350911383956,762.7845140059271,1332.1177102422384,993.9969113253201,507.81962000377285,356.7845153622336,1548.590525178267,811.5557992220188,1109.1255330496379,662.1001037183771,590.9608417823534,336.66443646127544,616.4046776583555,1044.2135761795876,722.3133427522034,1097.4882408084209,1603.580155804555,432.0226941828568,619.6793474710497,885.3657398678151
Mississippi,146.04747208404498,241.01500292711293,1259.9891559070725,1731.3565314893997,1041.532822081206,1101.9336706937659,900.6078470466423,572.1243168503896,380.2664385489929,687.5757892126871,1588.6662902220414,570.8227381540295,603.26223551638,686.2194211497286,476.6594579202085,178.77999020107694,1205.6707566393588,851.632813048552,1390.1351211124081,850.070832920308,1030.5063915943645,410.4666264759802,0.0,1493.0006257020666,639.5716592390651,1213.0297888223374,856.1167343791873,1224.8530609761456,989.8712448273634,917.8497213790536,1578.83975069065,1118.9264567741407,662.8814274343242,479.3865019045924,1858.4311618339354,909.6655051141455,1174.4649345739863,488.31078306540394,982.5270227661141,271.50110086832353,615.9467173094762,1305.0988885200675,702.66838139138,1236.7010111831835,1951.6039649005554,789.0235747254677,662.4267234181746,1223.4362282491595
Montana,1594.3770346503914,1254.0518898613518,886.145823369664,838.0824750537137,556.0795867925872,1867.3039286581436,1834.3927483051166,2048.923187291365,1769.3498213151204,919.6138916956353,287.97301779340404,1129.8352345382766,1307.9839987421449,809.4154626542155,1465.0371113426002,1449.858188094942,1925.8769489017232,1777.3658084274773,1947.9262721477735,1208.2443527235052,742.3951598856992,1125.5134671782857,1493.0006257020666,0.0,1786.3030867920825,442.7513932796293,638.2127199467564,1896.543568769853,1850.5525674063229,867.1671463681913,636.3283362563582,1769.3107495524137,1438.240149483661,1070.8132037943692,539.3470194859907,1684.1933669609573,1944.1212093540425,1769.4241179894389,546.423964673317,1457.7418879865143,1168.6351595529818,523.0879175558166,1739.1929475768338,1817.1533792595412,490.8637648529865,1068.7999559252457,1613.5888124286394,302.7023629857411
North Carolina,510.49565405643307,723.0137163129637,1817.219076699367,2239.7934996581566,1484.8395391373817,514.8124358683293,290.1111100200544,576.71079608507,333.84538606543583,867.4974656139049,1965.1991704126099,656.7135735837338,487.3321736610743,1092.1000742310428,324.50461845846473,818.3505676280115,614.9864171795068,261.651831560705,825.40233851451,685.2242270927662,1109.2291603388412,725.3895451017682,639.5716592390651,1786.3030867920825,0.0,1390.7841687029004,1193.5170529696034,648.6829115409557,389.0525012692254,1465.6509494842128,2057.22508654846,579.7057598413398,384.7558895170861,1020.2659539707072,2254.2174567992815,388.27438424146976,571.8492321513736,180.12677801006484,1241.4854457966583,425.76033870168743,1226.2331892615744,1769.026525310724,117.03776662534796,695.7674504252535,2276.543519401161,758.514782184661,211.12859717673075,1585.8185521948703
North Dakota,1286.044684936851,974.9351366363449,1069.40278694395,1197.6888620138222,601.9810007098852,1428.7144434500356,1408.8672829305424,1728.5264814546192,1425.9378443147084,551.654648270347,704.7036889864717,747.9623339803569,903.9388903791958,602.9457862063425,1080.117452085353,1218.7967423704793,1484.6692182101544,1353.7204792971622,1505.6994392987644,773.5605698152706,302.984990971111,808.39008518946,1213.0297888223374,442.7513932796293,1390.7841687029004,0.0,421.86317526641585,1454.461224210848,1418.19425425056,892.7262725940035,982.5659225822313,1328.055469854962,1024.2219215221128,888.9216444835976,978.3484682492569,1251.6913792798543,1504.3617151263304,1399.9472055350889,253.02801891999894,1113.8845902353794,1076.6543262207642,760.6815926520643,1330.9072187510606,1374.423604390136,919.0099369105125,645.178005255633,1204.0810501509432,434.9264864173252
Nebraska,956.3843014625453,616.2665657486432,798.14304425902,1094.980333909342,337.29688193305725,1384.5225551549627,1297.3616604607582,1411.130569189395,1137.6819160617601,352.9139888626286,774.0761511171851,551.4307711713956,749.2714262166481,186.83543404190291,869.3163938606696,827.6209484173289,1463.8051194275367,1237.0936460491585,1546.0767139834993,750.2406680288639,444.8152592549354,493.71819226912913,856.1167343791873,638.2127199467564,1193.5170529696034,421.86317526641585,0.0,1448.3622159655852,1336.2324262273514,529.0262067195869,892.5459434069564,1314.6907254870955,890.7200650997873,472.5718624259338,1061.5214074762723,1177.6188804585495,1467.175564630455,1151.6324040449133,170.97732101189882,829.9902273944964,656.7292699395684,608.5455818668671,1166.8366747753876,1393.2529492861281,1110.3517801750113,587.5584998873729,1048.0028465491005,393.97042784847685
New Hampshire,1122.3614025981192,1214.865920995536,2206.998363132488,2542.2636404540317,1783.42114610287,134.39523088104045,360.51397021665923,1206.5746817615932,980.5998022951122,1099.497592310388,2140.5077739894105,933.9013500941162,745.3490857726437,1427.5382767149779,762.7431309034083,1395.8495576134555,55.151564774618976,389.5981230450597,177.13028515758776,705.4760335954655,1154.6803329277736,1121.9155426521218,1224.8530609761456,1896.543568769853,648.6829115409557,1454.461224210848,1448.3622159655852,0.0,261.3996698748509,1871.9144866680376,2335.872730012476,133.69780203234396,615.2783512848754,1475.9764274206484,2425.16048008971,319.4783023906772,111.49132414224981,827.5297499267415,1415.7687666531585,960.2533461039918,1725.3471980557958,2056.036229606816,545.5674352826949,106.77763685803237,2368.9418029891426,864.7081591441731,562.4465708662342,1791.8544021656617
New Jersey,877.517260331859,1010.7667371181058,2054.553456992202,2427.0602056985635,1661.2812094185144,127.0223885771522,99.31753868876703,946.1449769684939,722.4386651442015,983.7131320085676,2071.8882004727957,791.54788366906,592.0389066450598,1284.3657342874506,552.6164193789737,1165.286755613128,225.9749319000491,138.32314701806817,438.52042397219884,644.688929805497,1115.7716406784061,947.3350911383956,989.8712448273634,1850.5525674063229,389.0525012692254,1418.19425425056,1336.2324262273514,261.3996698748509,0.0,1709.7009713638674,2228.3332399033898,223.89178437268728,450.03718351084916,1289.7502341433158,2361.4041674667033,166.53045043077697,185.9653447560552,568.8414971815564,1334.1004114148998,735.4177477461122,1526.515632734332,1942.1913805582474,292.46005270353265,324.4127867202606,2336.190721257792,783.4140590498575,339.32528242160134,1705.9804763363372
New Mexico,1059.414833192716,747.6083530053801,351.61089758093044,815.9526652371854,318.3481563456245,1784.5844297769488,1648.157741962996,1474.8246268012758,1288.4858328501284,802.5887168385166,812.953908487907,938.5774165720221,1128.3513440463184,456.70271768279633,1171.4492416971375,789.6254896979377,1876.4056735981458,1588.32501559461,1994.6943812634704,1215.6616254597802,973.8348312635101,762.7845140059271,917.8497213790536,867.1671463681913,1465.6509494842128,892.7262725940035,529.0262067195869,1871.9144866680376,1709.7009713638674,0.0,683.1547409066309,1740.516095713133,1265.3777002527243,450.29940021691687,1027.4943161136978,1569.5508564429795,1867.739265449698,1362.6742314558353,678.2255971258102,1042.687869490777,361.40703440065835,449.09780582657515,1478.7627588816472,1835.357609190112,1197.3067911718085,1058.0034959304205,1381.574680128273,571.9671015276703
Nevada,1713.5775921327477,1378.022776283613,441.9799915836869,215.44296650570277,573.1367952107604,2276.4302587824395,2186.569328205276,2146.394431315651,1932.8792054643516,1245.4598982957878,373.6548529447254,1439.4921220971385,1638.9199085849962,965.1977388316374,1739.1655765361277,1466.3044437812807,2353.723197610018,2126.0287196526388,2422.6384485010767,1631.6879470990955,1227.7724161257863,1332.1177102422384,1578.83975069065,636.3283362563582,2057.22508654846,982.5659225822313,892.5459434069564,2335.872730012476,2228.3332399033898,683.1547409066309,0.0,2202.5431054764326,1781.0276116553243,1099.48551880666,406.5979096847035,2070.1646290579174,2358.8241749975055,1984.2088577432708,927.4714322410508,1654.9636467453142,1042.5656553346919,288.59550959075915,2045.161594551324,2274.746481296269,654.7789806710542,1471.2052469656148,1931.302195216169,560.8925455255779
New York,1024.8971235772626,1094.2459197810117,2074.398457555303,2408.7094742476766,1649.7258217025465,130.55134254449868,310.45181065024747,1152.5782725669278,902.7027334087571,965.8435885888277,2010.3076972516012,802.0532021103219,616.0676326650762,1294.7795524975807,648.6249495991357,1286.2224799919086,156.61387460739047,319.5389921253991,272.4303001201929,573.0366288551162,1026.9438630221803,993.9969113253201,1118.9264567741407,1769.3107495524137,579.7057598413398,1328.055469854962,1314.6907254870955,133.69780203234396,223.89178437268728,1740.516095713133,2202.5431054764326,0.0,490.1436310444746,1349.350186968593,2295.8131106689143,210.276993471702,183.59451681892818,752.7024144369965,1283.4844656783494,850.4070128933727,1601.3812790957359,1922.443321573192,467.5921995364088,119.39819181228168,2244.6519996039615,731.5171240115791,459.9015847877588,1659.6055271620933
Ohio,601.0532627892362,606.0140785143194,1607.345249873302,1978.0478632234397,1212.1464811517449,519.4552266708146,406.828760686605,882.5525153584605,569.520188048114,540.692286816664,1641.5053434162353,342.03538201489215,142.2923629343879,834.5127825609906,192.3152911854624,816.856354404449,613.7489647092463,346.8368997705335,759.7093931724905,302.283218030857,733.1709786794997,507.81962000377285,662.8814274343242,1438.240149483661,384.7558895170861,1024.2219215221128,890.7200650997873,615.2783512848754,450.03718351084916,1265.3777002527243,1781.0276116553243,490.1436310444746,0.0,860.7248397089617,1931.9725012235062,304.3165005812631,602.4534596756131,463.9071155809043,904.1908888751735,392.87909754850534,1111.2524486079358,1494.0223278807598,307.9356749833857,599.4930225082799,1928.6610667932669,381.1140284920086,181.45808126891134,1268.9351014351346
Oklahoma,615.5033082825806,298.3098415751434,800.7808866565782,1255.521698674802,571.7615798243745,1376.2385734050083,1220.2508440576491,1049.0717249898485,840.731599810079,520.9224696847308,1127.388203144653,572.0334293516012,735.1367316060878,286.6293329329757,740.0413221034107,386.6263476970021,1473.3728392559428,1161.8005694445021,1615.000268613648,885.8010038568995,818.5138913094122,356.7845153622336,479.3865019045924,1070.8132037943692,1020.2659539707072,888.9216444835976,472.5718624259338,1475.9764274206484,1289.7502341433158,450.29940021691687,1099.48551880666,1349.350186968593,860.7248397089617,0.0,1387.9687635943221,1162.2314272567498,1457.9593157152406,912.4729025168913,636.1138264342554,595.1488598571581,264.8892919648122,826.8559970423005,1041.7363478717557,1453.981014197447,1501.3070010907015,750.2653822792819,953.7177878848619,780.3212055828573
