id,name,difficulty,type,views,share_date
https://www.mountainproject.com/route/111830447/a-shoulder-to-try-on,A Shoulder to Try On,V0- YDS,"Boulder, 12 ft (4 m)",485 total · 8/month,2016-05-04
https://www.mountainproject.com/route/111830438/granite-of-the-apes,Granite of The Apes,V1 YDS,"Boulder, 12 ft (4 m)",560 total · 9/month,2016-05-04
https://www.mountainproject.com/route/111830429/whisper-sweet-nothings,Whisper Sweet Nothings,V0 YDS,"Boulder, 12 ft (4 m)",423 total · 7/month,2016-05-04
https://www.mountainproject.com/route/111830402/off-the-cuff,Off The Cuff,V0+ YDS,"Boulder, 12 ft (4 m)",420 total · 7/month,2016-05-04
https://www.mountainproject.com/route/111830165/now-kith,Now Kith,V0 YDS,"Boulder, 10 ft (3 m)",400 total · 7/month,2016-05-04
https://www.mountainproject.com/route/111830150/turtle-traverse,Turtle Traverse,V0 YDS,"Boulder, 10 ft (3 m)",391 total · 6/month,2016-05-04
https://www.mountainproject.com/route/107448212/amputation,Amputation,V0 YDS,"Boulder, 12 ft (4 m)","1,316 total · 12/month",2012-01-23
https://www.mountainproject.com/route/107448192/brachiation,Brachiation,V4 YDS,"Boulder, 20 ft (6 m)","1,388 total · 12/month",2012-01-23
https://www.mountainproject.com/route/107448180/the-knobby,The Knobby,V0 YDS,"Boulder, 15 ft (5 m)","1,410 total · 13/month",2012-01-23
https://www.mountainproject.com/route/107448172/roybals-wall,Roybal's Wall,V0 YDS,"Boulder, 10 ft (3 m)","1,282 total · 11/month",2012-01-23
https://www.mountainproject.com/route/114226774/if-a-tree-falls,If a Tree Falls?,V3-4 YDS,"Boulder, 15 ft (5 m)",511 total · 14/month,2018-04-05
https://www.mountainproject.com/route/106568021/14-minus,"1/4"" Minus",V8 YDS,"Boulder, 12 ft (4 m)","3,130 total · 22/month",2009-10-12
https://www.mountainproject.com/route/106568011/dham-uht,Dham Uht,V6-7 YDS,"Boulder, 12 ft (4 m)",491 total · 4/month,2009-10-12
https://www.mountainproject.com/route/106568015/free-capn,Free Cap'n,V5-6 YDS,"Boulder, 12 ft (4 m)","1,577 total · 11/month",2009-10-12
https://www.mountainproject.com/route/118325418/howling,Howling,V7 YDS,Boulder,246 total · 17/month,2020-02-08
https://www.mountainproject.com/route/118325337/red-chile,Red Chile,V5-6 YDS,"Boulder, 13 ft (4 m)",247 total · 17/month,2020-02-08
